Entreprise,TitlePub,Lien_offre,Info_post,langue,nfo_entreprise,Type_Contrat,Metier,Profile_cherche,Experience,Niveau_etude,Salaire,Date_pub,Secteur_activite,Location
CPA CS,Conseillers Commerciaux Experts en Assurance/Mutuelle Santé : Salaire jusqu’à 25 000 dhs (Courtier Français),https://www.m-job.ma/offres-emploi/115028-conseillers-commerciaux-experts-en-assurancemutuelle-sante-salaire-jusqua-25-000-dhs-courtier-francais-6-rabat,"Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Afin d'accroitre votre réussite, vous serez accompagné dès les premiers jours de votre intégration et suivrez un parcours de formation complète alternant théorie et pratique. La qualité de service est notre priorité. Rémunération exceptionnelle, Package attractif composé d'un Salaire fixe et d'un variable (PRIMES DECLAREES à 100%) à la hauteur de votre réussite commerciale [Salaire Fixe à partir de 5000 dhs et allant jusqu'à 11 000 dhs + Commission non plafonnées à partir de 4000 dhs] On vous propose un contrat CDI + avantages sociaux CNSS AMO Mutuelle...+ Un cadre de travail agréable et bien d'autres avantages ! Poste à pourvoir immédiatement.",Français,"Notre Cabinet de Courtage Français ‘CPA CS’ spécialisé dans le conseil et la vente de produits d’Assurances de particuliers pour le marché français, recherche ses prochains Conseillers Commerciaux Experts en Assurance SANTE + AUTO + DECENNALE (H/F) à Casablanca & Rabat. Nous rejoindre, c’est partager notre volonté de bien servir nos clients. On propose une Rémunération Exceptionnelle Salaires + Primes Déclarées à 100%. · Salaire Fixe à partir de 5000 dhs et allant jusqu'à 11 000 dhs. · Commissions non plafonnées à partir de 4000 dhs et allant jusqu’à 20 000 dhs déclarées.",CDI,Banque / Assurance,"Avant tout, c'est votre personnalité et votre tempérament commercial qui feront la différence ! Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ce poste clé de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission.",Débutant (de 1 à 3 ans),BAC+2,de 15 000 dh à 20 000 dh,L'offre a été publiée il y a 1 semaine avant sur le site.,Banque / Assurance,Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia

Agi conseil,"Free lance , Commerciaux experts en assurance auto et decennale",https://www.m-job.ma/offres-emploi/115006-free-lance-commerciaux-experts-en-assurance-auto-et-decennale-meknes,Experts en assurance auto et décennale.,Français / Anglais,"Centre d’appel. Telemarketing. Service client. 5 commerciaux experts en assurance auto et décennale , en free lance. Bonne rémunération merci d'envoyer votre candidature par mail.",Free Lance,Banque / Assurance,Commercial free lance.,Junior (de 3 à 5 ans),BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,de 8000 dh à 10 000 dh,L'offre a été publiée il y a 1 semaine avant sur le site.,Banque / Assurance,Meknes / Tanger / Rabat / Salé / Kenitra / Casablanca / Mohammedia / Marrakech / Bordeaux / France-Autres

Agi conseil,Informaticien technicien centre d’appel,https://www.m-job.ma/offres-emploi/115007-informaticien-technicien-centre-dappel-rabat,Technicien informaticien,Arabe / Français / Anglais,"Centre d’appel. Telemarketing. Service client. pour un centre d'appel de Rabat cherchons un technicien informaticien pour la maintenance réseau , l'assistance et suivant les besoins de la production. Expérience et connaissance des besoins des centre d'appel exigées. Type de contrat: free lance. Merci de nous soumettre votre CV.",Free Lance,Banque / Assurance,Technicien,Senior (de 5 à 7 ans),BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4,A négocier,L'offre a été publiée il y a 1 semaine avant sur le site.,Banque / Assurance,Rabat

CPA MAROC,Conseillers Commerciaux Experts en Assurance/Mutuelle Santé + Auto + Décennale : jusqu’à 25 000 dhs (Courtier Français),https://www.m-job.ma/offres-emploi/114995-conseillers-commerciaux-experts-en-assurancemutuelle-sante-auto-decennale-jusqua-25-000-dhs-courtier-francais-24-rabat,"Avant tout, c'est votre personnalité et votre tempérament commercial qui feront la différence ! Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ce poste clé de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission",Français,"Notre Cabinet de Courtage Français ‘CPA CS’ spécialisé dans le conseil et la vente de produits d’Assurances de particuliers pour le marché français, recherche ses prochains Conseillers Commerciaux Experts en Assurance SANTE + AUTO + DECENNALE (H/F) à Casablanca & Rabat. Nous rejoindre, c’est partager notre volonté de bien servir nos clients. On propose une Rémunération Exceptionnelle Salaires + Primes Déclarées à 100%. · Salaire Fixe à partir de 5000 dhs et allant jusqu'à 11 000 dhs. · Commissions non plafonnées à partir de 4000 dhs et allant jusqu’à 20 000 dhs déclarées.",CDI,Banque / Assurance,"Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Afin d'accroitre votre réussite, vous serez accompagné dès les premiers jours de votre intégration et suivrez un parcours de formation complète alternant théorie et pratique. La qualité de service est notre priorité. Rémunération exceptionnelle, Package attractif composé d'un Salaire fixe et d'un variable (PRIMES DECLAREES à 100%) à la hauteur de votre réussite commerciale [Salaire Fixe à partir de 5000 dhs et allant jusqu'à 11 000 dhs + Commission non plafonnées à partir de 4000 dhs] On vous propose un contrat CDI + avantages sociaux CNSS AMO Mutuelle...+ Un cadre de travail agréable et bien d'autres avantages ! Poste à pourvoir immédiatement.",Débutant (de 1 à 3 ans),BAC+2,de 15 000 dh à 20 000 dh,L'offre a été publiée il y a 1 semaine avant sur le site.,Banque / Assurance,Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia

CPA CS,Conseillers Commerciaux Experts en Assurance/Mutuelle Santé : Salaire jusqu’à 25 000 dhs (Courtier Français),https://www.m-job.ma/offres-emploi/114987-conseillers-commerciaux-experts-en-assurancemutuelle-sante-salaire-jusqua-25-000-dhs-courtier-francais-5-rabat,"Avant tout, c'est votre personnalité et votre tempérament commercial qui feront la différence ! Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ce poste clé de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission.",Français,"Notre Cabinet de Courtage Français ‘CPA CS’ spécialisé dans le conseil et la vente de produits d’Assurances de particuliers pour le marché français, recherche ses prochains Conseillers Commerciaux Experts en Assurance SANTE + AUTO + DECENNALE (H/F) à Casablanca & Rabat. Nous rejoindre, c’est partager notre volonté de bien servir nos clients. On propose une Rémunération Exceptionnelle Salaires + Primes Déclarées à 100%. · Salaire Fixe à partir de 5000 dhs et allant jusqu'à 11 000 dhs. · Commissions non plafonnées à partir de 4000 dhs et allant jusqu’à 20 000 dhs déclarées.",CDI,Banque / Assurance,"Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Afin d'accroitre votre réussite, vous serez accompagné dès les premiers jours de votre intégration et suivrez un parcours de formation complète alternant théorie et pratique. La qualité de service est notre priorité. Rémunération exceptionnelle, Package attractif composé d'un Salaire fixe et d'un variable (PRIMES DECLAREES à 100%) à la hauteur de votre réussite commerciale [Salaire Fixe à partir de 5000 dhs et allant jusqu'à 11 000 dhs + Commission non plafonnées à partir de 4000 dhs] On vous propose un contrat CDI + avantages sociaux CNSS AMO Mutuelle...+ Un cadre de travail agréable et bien d'autres avantages ! Poste à pourvoir immédiatement.",Débutant (de 1 à 3 ans),BAC+2,de 15 000 dh à 20 000 dh,L'offre a été publiée il y a 2 semaines avant sur le site.,Banque / Assurance,Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia

LES MANDARINS MAROC,Les MAndarins Maroc (Courtier Français en Assurance) Recrute: Commerciaux (Santé + Auto + Décennale) + Gestionnaires + Televendeurs // Assistante Direction (stage pr-embauche)// Stage Infogra,https://www.m-job.ma/offres-emploi/114986-les-mandarins-maroc-courtier-francais-en-assurance-recrute-commerciaux-sante-auto-decennale-gestionnaires-televendeurs-assistante-direction-stage-pr-embauche-rabat,"Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ces postes clés de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission",Français,"Les Mandarins Maroc, Courtier Français spécialisé dans le conseil et la vente de produits d’Assurances pour le marché français, Recrute plusieurs profils suite à l'ouverture de notre Site à Ain Atiq (région de Témara)",CDI,Banque / Assurance,"Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Poste à pourvoir immédiatement.",Débutant (de 1 à 3 ans),BAC+2,de 15 000 dh à 20 000 dh,L'offre a été publiée il y a 2 semaines avant sur le site.,Banque / Assurance,Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia

LES MANDARINS MAROC,Les MAndarins Maroc (Courtier Français en Assurance) Recrute en CDI Plusieurs Profils : Commerciaux (Santé + Auto + Décennale) + Gestionnaires + Televendeurs // Assistante Direction (stage pr,https://www.m-job.ma/offres-emploi/114948-les-mandarins-maroc-courtier-francais-en-assurance-recrute-en-cdi-plusieurs-profils-commerciaux-sante-auto-decennale-gestionnaires-televendeurs-assistante-dir-rabat,"Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Poste à pourvoir immédiatement.",Français,"Les Mandarins Maroc, Courtier Français spécialisé dans le conseil et la vente de produits d’Assurances pour le marché français, Recrute plusieurs profils suite à l'ouverture de notre Site à Ain Atiq (région de Témara)",CDI,Banque / Assurance,"Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ces postes clés de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission",Débutant (de 1 à 3 ans),BAC+2,de 10 000 dh à 15 000 dh,L'offre a été publiée il y a 2 semaines avant sur le site.,Banque / Assurance,Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia
